AcademicYear,Stu_deID,School_deID,GradeLevel,DOB,TestAge,StudentGender,StudentEthnicity,Special_Education,Homeless,SocioEconomically,TestDayName,TestDate,OverallScore,OverallLevel,ExpectedAttendanceDays,DaysAttended,AttendedPct,EnrolledPct,GradeEnrolledPct,GradeAttendedPct,TeacherGender,TeacherTotalYearsOfService,TeacherEthnicity
2017-2018,46,2,2,2010-04-09,7.983736832378488,M,Hispanic,N,N,Y,Tuesday,2018-04-03,1416,1,180.0,178.0,0.9888888888888889,1.0,2.999999,2.988888888888889,F,5,Hispanic
2017-2018,47,9,6,2005-09-27,12.405456648664929,M,Hispanic,N,N,Y,Thursday,2018-02-22,1478,2,180.0,174.0,0.9666666666666667,1.0,6.999999,6.966666666666667,F,14,White
2017-2018,49,3,2,2010-08-26,7.515554734183453,F,Hispanic,N,N,Y,Friday,2018-03-02,1521,4,180.0,179.0,0.9944444444444445,1.0,2.999999,2.9944444444444445,F,13,Hispanic
2017-2018,50,7,4,2008-06-12,9.733259409844145,F,Hispanic,N,N,Y,Wednesday,2018-03-07,1532,3,180.0,177.0,0.9833333333333333,1.0,4.999999,4.983333333333333,F,14,Hispanic
2017-2018,51,5,2,2010-05-15,7.904337529175821,F,Filipino,N,N,Y,Tuesday,2018-04-10,1586,4,180.0,173.0,0.9611111111111111,1.0,2.999999,2.9611111111111112,F,18,White
2017-2018,52,5,0,2011-12-14,6.420391931388051,M,Filipino,N,N,Y,Wednesday,2018-05-16,1440,3,180.0,176.0,0.9777777777777777,1.0,0.999999,0.9777777777777777,F,26,Hispanic
2017-2018,53,3,5,2007-08-19,10.543679883912743,M,Hispanic,Y,N,Y,Monday,2018-03-05,1490,3,180.0,166.0,0.9222222222222223,1.0,5.999999,5.9222222222222225,F,2,White
2017-2018,54,2,0,2012-11-25,5.352608198662533,F,Filipino,N,Y,Y,Tuesday,2018-04-03,1383,2,180.0,162.0,0.9,1.0,0.999999,0.9,F,1,White
2017-2018,56,4,5,2007-10-11,10.379405463493432,F,Hispanic,N,Y,Y,Monday,2018-02-26,1459,2,180.0,171.0,0.95,1.0,5.999999,5.95,F,1,Filipino
2017-2018,57,4,6,2006-03-14,11.956439899518813,M,Hispanic,Y,N,Y,Monday,2018-02-26,1454,1,180.0,171.0,0.95,1.0,6.999999,6.95,F,26,White
2017-2018,58,0,2,2010-05-07,7.9809989253715,M,Hispanic,N,N,Y,Monday,2018-04-30,1487,3,180.0,173.0,0.9611111111111111,1.0,2.999999,2.9611111111111112,F,6,Filipino
2017-2018,59,2,1,2011-01-04,7.323901243694258,F,Hispanic,Y,N,Y,Wednesday,2018-05-02,1497,4,180.0,169.0,0.9388888888888889,1.0,1.9999989999999999,1.9388888888888889,F,3,White
2017-2018,60,2,6,2006-02-05,12.000246411630629,F,Hispanic,N,N,Y,Monday,2018-02-05,1497,2,180.0,145.0,0.8055555555555556,1.0,6.999999,6.805555555555555,F,4,Filipino
2017-2018,62,8,2,2010-05-25,7.7428010157635,F,Hispanic,N,N,Y,Tuesday,2018-02-20,1600,4,163.0,139.0,0.852760736196319,0.9055555555555556,2.9055555555555554,2.852760736196319,F,10,White
2017-2018,63,3,3,2008-09-06,9.492323593229155,F,Hispanic,N,N,Y,Monday,2018-03-05,1463,2,180.0,162.0,0.9,1.0,3.999999,3.9,M,10,Hispanic
2017-2018,65,4,4,2008-04-24,9.834561969102719,M,Hispanic,N,N,Y,Friday,2018-02-23,1498,3,180.0,169.0,0.9388888888888889,1.0,4.999999,4.938888888888889,F,4,Hispanic
2017-2018,66,4,3,2009-06-24,8.67642730514658,M,Hispanic,N,N,Y,Monday,2018-02-26,1465,2,180.0,170.0,0.9444444444444444,1.0,3.999999,3.9444444444444446,F,13,Hispanic
2017-2018,67,8,6,2006-10-06,11.376003614037248,F,Hispanic,N,N,Y,Tuesday,2018-02-20,1481,2,180.0,170.0,0.9444444444444444,1.0,6.999999,6.944444444444445,F,2,White
2017-2018,70,3,1,2011-06-06,6.9104772856389935,F,Hispanic,N,N,Y,Friday,2018-05-04,1444,3,180.0,175.0,0.9722222222222222,1.0,1.9999989999999999,1.9722222222222223,F,4,Hispanic
2017-2018,71,7,1,2011-08-28,6.694182632086902,M,Hispanic,N,N,Y,Tuesday,2018-05-08,1439,3,180.0,179.0,0.9944444444444445,1.0,1.9999989999999999,1.9944444444444445,F,30,Hispanic
2017-2018,72,4,0,2012-03-25,6.154814951710165,F,Hispanic,N,N,Y,Monday,2018-05-21,1397,2,180.0,172.0,0.9555555555555556,1.0,0.999999,0.9555555555555556,F,6,Hispanic
2017-2018,73,8,1,2011-05-22,6.907739378632005,M,Hispanic,N,N,Y,Wednesday,2018-04-18,1434,2,180.0,165.0,0.9166666666666666,1.0,1.9999989999999999,1.9166666666666665,F,9,Hispanic
2017-2018,74,7,1,2010-09-17,7.6387605494979365,F,Hispanic,N,N,Y,Tuesday,2018-05-08,1485,4,180.0,172.0,0.9555555555555556,1.0,1.9999989999999999,1.9555555555555557,F,30,Hispanic
2017-2018,76,8,2,2010-07-09,7.619595200449017,M,Filipino,N,N,Y,Tuesday,2018-02-20,1526,4,180.0,180.0,1.0,1.0,2.999999,2.999999,F,10,Filipino
2017-2018,77,9,1,2010-10-26,7.5593612462952695,F,Hispanic,N,N,Y,Friday,2018-05-18,1499,4,180.0,160.0,0.8888888888888888,1.0,1.9999989999999999,1.8888888888888888,F,15,Hispanic
2017-2018,78,6,1,2011-05-01,7.028207286939499,M,Hispanic,N,N,N,Friday,2018-05-11,1446,3,180.0,175.0,0.9722222222222222,1.0,1.9999989999999999,1.9722222222222223,F,14,Hispanic
2017-2018,79,3,3,2009-05-07,8.827012190530949,M,Hispanic,N,N,Y,Monday,2018-03-05,1485,2,180.0,163.0,0.9055555555555556,1.0,3.999999,3.9055555555555554,M,10,Hispanic
2017-2018,82,1,0,2012-08-22,5.724963551612969,M,Hispanic,N,N,N,Monday,2018-05-14,1443,3,180.0,172.0,0.9555555555555556,1.0,0.999999,0.9555555555555556,F,5,Hispanic
2017-2018,85,3,1,2011-08-16,6.724299609163775,M,Hispanic,N,N,Y,Monday,2018-05-07,1576,4,180.0,174.0,0.9666666666666667,1.0,1.9999989999999999,1.9666666666666668,F,3,White
2017-2018,86,6,5,2007-03-04,11.014599889114766,F,Hispanic,N,N,Y,Friday,2018-03-09,1363,1,157.0,152.0,0.9681528662420382,0.8722222222222222,5.872222222222222,5.968152866242038,F,14,Hispanic
2017-2018,87,1,5,2007-02-07,11.014599889114766,F,Hispanic,Y,N,Y,Monday,2018-02-12,1436,1,180.0,177.0,0.9833333333333333,1.0,5.999999,5.983333333333333,F,6,White
2017-2018,89,1,1,2010-10-02,7.5374579902393615,M,Hispanic,N,Y,Y,Monday,2018-04-16,1455,3,180.0,154.0,0.8555555555555555,1.0,1.9999989999999999,1.8555555555555556,F,2,Hispanic
2017-2018,90,5,0,2012-03-04,6.201359370828969,M,Hispanic,N,N,Y,Thursday,2018-05-17,1321,1,180.0,159.0,0.8833333333333333,1.0,0.999999,0.8833333333333333,F,22,White
2017-2018,91,7,1,2011-08-26,6.743464958212694,M,Hispanic,Y,N,N,Thursday,2018-05-24,1431,2,180.0,172.0,0.9555555555555556,1.0,1.9999989999999999,1.9555555555555557,F,2,Hispanic
2017-2018,92,9,6,2006-10-16,11.354100357981341,M,Hispanic,N,N,Y,Thursday,2018-02-22,1535,3,180.0,164.0,0.9111111111111111,1.0,6.999999,6.911111111111111,F,4,White
2017-2018,93,0,3,2009-03-31,8.914625214754581,M,Hispanic,N,N,Y,Wednesday,2018-02-28,1510,3,180.0,170.0,0.9444444444444444,1.0,3.999999,3.9444444444444446,F,6,Hispanic
2017-2018,94,0,4,2008-03-12,9.968719412445155,F,Hispanic,N,N,Y,Thursday,2018-03-01,1398,1,180.0,166.0,0.9222222222222223,1.0,4.999999,4.9222222222222225,F,15,Hispanic
2017-2018,95,9,3,2008-12-08,9.204843357495363,F,Hispanic,N,N,Y,Wednesday,2018-02-21,1516,3,180.0,178.0,0.9888888888888889,1.0,3.999999,3.988888888888889,F,2,Hispanic
2017-2018,96,3,1,2011-07-20,6.790009377331499,F,Hispanic,N,N,Y,Friday,2018-05-04,1469,4,180.0,170.0,0.9444444444444444,1.0,1.9999989999999999,1.9444444444444444,F,11,Hispanic
2017-2018,98,6,0,2011-12-09,6.4696742575138435,M,Hispanic,N,N,N,Tuesday,2018-05-29,1468,4,151.0,147.0,0.9735099337748344,0.8388888888888889,0.8388888888888889,0.9735099337748344,F,10,Hispanic
2017-2018,99,3,0,2012-01-31,6.25611751096874,M,Hispanic,N,N,Y,Friday,2018-05-04,1360,1,180.0,171.0,0.95,1.0,0.999999,0.95,F,1,Hispanic
2017-2018,100,4,5,2007-08-06,10.560107325954673,F,Asian,N,N,Y,Monday,2018-02-26,1485,2,180.0,174.0,0.9666666666666667,1.0,5.999999,5.966666666666667,F,1,Filipino
2017-2018,101,2,0,2012-08-21,5.623660992354394,F,Hispanic,N,N,Y,Friday,2018-04-06,1426,3,180.0,168.0,0.9333333333333333,1.0,0.999999,0.9333333333333333,F,16,Hispanic
2017-2018,104,6,5,2007-05-27,10.801043142569663,M,Hispanic,N,N,Y,Thursday,2018-03-15,1592,4,180.0,180.0,1.0,1.0,5.999999,5.999999,F,2,Filipino
2017-2018,105,9,1,2010-11-25,7.408776360910902,M,Hispanic,N,N,Y,Monday,2018-04-23,1412,1,180.0,148.0,0.8222222222222222,1.0,1.9999989999999999,1.8222222222222222,F,15,Hispanic
2017-2018,107,3,4,2008-01-15,10.135731739871455,F,Hispanic,N,N,Y,Monday,2018-03-05,1476,2,180.0,169.0,0.9388888888888889,1.0,4.999999,4.938888888888889,F,2,White
2017-2018,108,6,4,2008-05-11,9.842775690123686,F,Hispanic,N,N,Y,Thursday,2018-03-15,1513,3,180.0,175.0,0.9722222222222222,1.0,4.999999,4.972222222222222,F,2,Hispanic
2017-2018,109,4,3,2009-05-26,8.747612887328282,M,Hispanic,N,N,Y,Friday,2018-02-23,1490,3,180.0,179.0,0.9944444444444445,1.0,3.999999,3.9944444444444445,F,14,Hispanic
2017-2018,110,9,6,2005-03-14,12.944824329041664,F,Hispanic,N,N,Y,Thursday,2018-02-22,1488,2,180.0,177.0,0.9833333333333333,1.0,6.999999,6.983333333333333,F,14,White
2017-2018,111,0,6,2005-12-06,12.265823391308514,M,Hispanic,N,N,Y,Tuesday,2018-03-13,1568,4,180.0,180.0,1.0,1.0,6.999999,6.999999,M,10,White
2017-2018,112,5,0,2012-02-14,6.154814951710165,F,Hispanic,N,N,Y,Wednesday,2018-04-11,1419,3,180.0,152.0,0.8444444444444444,1.0,0.999999,0.8444444444444444,F,26,Hispanic
2017-2018,113,2,0,2012-07-26,5.694846574536096,F,Hispanic,N,N,Y,Friday,2018-04-06,1402,2,180.0,160.0,0.8888888888888888,1.0,0.999999,0.8888888888888888,F,29,Hispanic
2017-2018,114,6,2,2009-02-06,9.254125683621156,F,Hispanic,N,Y,Y,Thursday,2018-05-10,1464,3,180.0,169.0,0.9388888888888889,1.0,2.999999,2.938888888888889,F,1,Hispanic
2017-2018,115,4,5,2006-11-05,11.310293845869525,F,Hispanic,N,N,Y,Monday,2018-02-26,1556,4,180.0,169.0,0.9388888888888889,1.0,5.999999,5.938888888888889,F,1,Filipino
2017-2018,116,2,5,2007-09-07,10.414998254584283,M,Hispanic,N,N,Y,Monday,2018-02-05,1563,4,180.0,175.0,0.9722222222222222,1.0,5.999999,5.972222222222222,F,10,Filipino
2017-2018,117,6,1,2011-08-27,6.702396353107867,F,Hispanic,N,N,Y,Thursday,2018-05-10,1473,4,180.0,164.0,0.9111111111111111,1.0,1.9999989999999999,1.911111111111111,F,14,Hispanic
2017-2018,118,7,3,2008-11-06,9.330787079816835,F,Hispanic,N,N,Y,Wednesday,2018-03-07,1488,2,180.0,169.0,0.9388888888888889,1.0,3.999999,3.938888888888889,F,1,Asian
2017-2018,119,1,3,2009-03-01,8.95295591285242,M,Hispanic,N,N,Y,Monday,2018-02-12,1514,3,180.0,154.0,0.8555555555555555,1.0,3.999999,3.8555555555555556,F,6,White
2017-2018,120,1,1,2010-10-05,7.529244269218396,F,Hispanic,N,N,Y,Monday,2018-04-16,1430,2,180.0,160.0,0.8888888888888888,1.0,1.9999989999999999,1.8888888888888888,F,2,Hispanic
2017-2018,121,1,3,2009-05-03,8.783205678419133,F,Hispanic,N,N,Y,Tuesday,2018-02-13,1463,2,180.0,171.0,0.95,1.0,3.999999,3.95,F,9,Hispanic
2017-2018,122,7,1,2010-11-24,7.496389385134534,M,Hispanic,N,N,Y,Thursday,2018-05-24,1473,4,180.0,173.0,0.9611111111111111,1.0,1.9999989999999999,1.9611111111111112,F,2,Hispanic
2017-2018,123,4,2,2009-12-26,8.32871311525904,M,Hispanic,N,N,N,Wednesday,2018-04-25,1472,3,180.0,178.0,0.9888888888888889,1.0,2.999999,2.988888888888889,F,8,Hispanic
2017-2018,124,2,0,2012-09-10,5.560689131193659,F,Hispanic,N,Y,Y,Tuesday,2018-04-03,1402,2,180.0,153.0,0.85,1.0,0.999999,0.85,F,1,White
2017-2018,125,8,3,2009-01-09,9.1008028912298,M,Hispanic,Y,N,Y,Thursday,2018-02-15,1471,2,180.0,169.0,0.9388888888888889,1.0,3.999999,3.938888888888889,F,10,White
2017-2018,126,2,4,2008-03-29,9.859203132165616,F,Hispanic,N,N,Y,Tuesday,2018-02-06,1549,4,180.0,166.0,0.9222222222222223,1.0,4.999999,4.9222222222222225,M,13,White
2017-2018,127,4,3,2009-04-07,8.889984051691684,M,Hispanic,N,N,Y,Monday,2018-02-26,1480,2,180.0,159.0,0.8833333333333333,1.0,3.999999,3.8833333333333333,F,13,Hispanic
2017-2018,128,0,2,2009-12-14,8.460132651594488,M,Hispanic,N,N,Y,Thursday,2018-05-31,1475,3,180.0,167.0,0.9277777777777778,1.0,2.999999,2.927777777777778,F,2,Hispanic
2017-2018,129,3,1,2011-04-28,7.069275892044327,F,Hispanic,N,N,Y,Wednesday,2018-05-23,1433,2,180.0,178.0,0.9888888888888889,1.0,1.9999989999999999,1.988888888888889,F,2,White
2017-2018,130,6,2,2010-05-29,7.950881948294626,F,Hispanic,N,N,Y,Friday,2018-05-11,1466,3,180.0,178.0,0.9888888888888889,1.0,2.999999,2.988888888888889,F,1,Hispanic
2017-2018,132,9,6,2006-03-02,11.978343155574722,M,Hispanic,N,N,Y,Thursday,2018-02-22,1460,1,180.0,172.0,0.9555555555555556,1.0,6.999999,6.955555555555556,F,14,White
2017-2018,133,1,3,2009-07-30,8.539531954797155,F,Hispanic,N,N,Y,Monday,2018-02-12,1477,2,180.0,164.0,0.9111111111111111,1.0,3.999999,3.911111111111111,M,2,White
2017-2018,134,2,1,2010-10-12,7.482699850099591,F,Hispanic,N,N,Y,Friday,2018-04-06,1414,1,180.0,167.0,0.9277777777777778,1.0,1.9999989999999999,1.9277777777777778,F,3,Hispanic
2017-2018,135,7,0,2012-07-06,5.872810529990349,F,Hispanic,N,Y,Y,Monday,2018-05-21,1403,2,180.0,163.0,0.9055555555555556,1.0,0.999999,0.9055555555555556,F,17,Hispanic
2017-2018,137,1,0,2012-07-06,5.768770063724785,F,Hispanic,N,N,Y,Friday,2018-04-13,1438,3,180.0,168.0,0.9333333333333333,1.0,0.999999,0.9333333333333333,F,5,Hispanic
2017-2018,138,1,1,2010-12-27,7.381397290841017,F,Hispanic,N,N,Y,Tuesday,2018-05-15,1444,3,180.0,171.0,0.95,1.0,1.9999989999999999,1.95,F,5,White
2017-2018,139,1,0,2011-09-05,6.694182632086902,M,Hispanic,Y,N,Y,Wednesday,2018-05-16,1150,1,180.0,159.0,0.8833333333333333,1.0,0.999999,0.8833333333333333,F,12,White
2017-2018,140,5,2,2010-06-10,7.83315194699412,M,Hispanic,N,N,Y,Tuesday,2018-04-10,1533,4,180.0,177.0,0.9833333333333333,1.0,2.999999,2.9833333333333334,F,18,White
2017-2018,141,4,4,2008-02-11,10.03442918061288,M,Hispanic,Y,N,Y,Friday,2018-02-23,1502,3,180.0,177.0,0.9833333333333333,1.0,4.999999,4.983333333333333,M,13,White
2017-2018,142,3,1,2010-09-09,7.644236363511913,M,Hispanic,N,Y,Y,Wednesday,2018-05-02,1496,4,180.0,162.0,0.9,1.0,1.9999989999999999,1.9,F,4,Hispanic
2017-2018,143,1,3,2009-02-23,8.969383354894351,M,Hispanic,N,N,Y,Monday,2018-02-12,1486,2,180.0,174.0,0.9666666666666667,1.0,3.999999,3.966666666666667,M,2,White
2017-2018,144,2,3,2009-04-16,8.807846841482029,M,Hispanic,N,N,Y,Monday,2018-02-05,1406,1,180.0,172.0,0.9555555555555556,1.0,3.999999,3.9555555555555557,F,7,White
2017-2018,145,6,1,2011-02-15,7.285570545596419,F,Hispanic,N,N,Y,Wednesday,2018-05-30,1416,2,180.0,175.0,0.9722222222222222,1.0,1.9999989999999999,1.9722222222222223,F,6,Hispanic
2017-2018,146,8,1,2011-04-27,7.039158914967453,M,Hispanic,N,N,Y,Friday,2018-05-11,1473,4,180.0,167.0,0.9277777777777778,1.0,1.9999989999999999,1.9277777777777778,F,26,Hispanic
2017-2018,147,2,2,2010-08-28,7.597691944393109,F,Hispanic,N,Y,Y,Tuesday,2018-04-03,1474,3,180.0,176.0,0.9777777777777777,1.0,2.999999,2.977777777777778,F,8,Hispanic
2017-2018,148,0,3,2009-04-30,8.832488004544926,F,Hispanic,N,N,Y,Wednesday,2018-02-28,1513,3,180.0,164.0,0.9111111111111111,1.0,3.999999,3.911111111111111,F,24,Hispanic
2017-2018,149,3,4,2008-02-02,10.116566390822536,F,Hispanic,N,N,Y,Friday,2018-03-16,1481,2,180.0,174.0,0.9666666666666667,1.0,4.999999,4.966666666666667,F,2,White
2017-2018,151,7,4,2007-12-20,10.215131043074122,F,Hispanic,N,N,Y,Thursday,2018-03-08,1495,3,180.0,166.0,0.9222222222222223,1.0,4.999999,4.9222222222222225,F,18,Hispanic
2017-2018,152,9,1,2011-07-19,6.831077982436327,M,Hispanic,N,N,Y,Friday,2018-05-18,1432,2,180.0,167.0,0.9277777777777778,1.0,1.9999989999999999,1.9277777777777778,F,15,Hispanic
2017-2018,153,2,4,2008-01-24,10.03442918061288,M,Hispanic,N,N,Y,Monday,2018-02-05,1529,3,180.0,177.0,0.9833333333333333,1.0,4.999999,4.983333333333333,F,4,White
2017-2018,154,0,1,2010-09-23,7.592216130379132,M,Filipino,Y,N,Y,Friday,2018-04-27,1453,3,180.0,162.0,0.9,1.0,1.9999989999999999,1.9,F,22,White
2017-2018,155,9,0,2012-01-30,6.294448209066579,M,Hispanic,N,N,Y,Thursday,2018-05-17,1450,4,180.0,176.0,0.9777777777777777,1.0,0.999999,0.9777777777777777,F,6,Hispanic
2017-2018,156,3,3,2009-07-04,8.668213584125615,M,Hispanic,N,N,Y,Monday,2018-03-05,1460,2,180.0,175.0,0.9722222222222222,1.0,3.999999,3.9722222222222223,F,26,White
2017-2018,157,9,0,2012-06-05,5.946734019179039,F,Hispanic,N,N,Y,Thursday,2018-05-17,1437,3,180.0,163.0,0.9055555555555556,1.0,0.999999,0.9055555555555556,F,3,Hispanic
